Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
227,Fukushima Daiichi-1,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-3,1967-07-25,1971-03-26,2011-05-19,439.0,2019-06-30,WNA/IAEA,377.0
228,Fukushima Daiichi-2,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,1969-06-09,1974-07-18,2011-05-19,760.0,2019-06-30,WNA/IAEA,389.0
229,Fukushima Daiichi-3,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,1970-12-28,1976-03-27,2011-05-19,760.0,2019-06-30,WNA/IAEA,334.0
230,Fukushima Daiichi-4,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,1973-02-12,1978-10-12,2011-05-19,760.0,2019-06-30,WNA/IAEA,340.0
231,Fukushima Daiichi-5,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-4,1972-05-22,1978-04-18,2013-12-17,760.0,2019-06-30,WNA/IAEA,341.0
232,Fukushima Daiichi-6,37.423,141.032,Japan,JP,Shutdown,BWR,BWR-5,1973-10-26,1979-10-24,2013-12-17,1067.0,2019-06-30,WNA/IAEA,342.0
233,Fukushima Daini-1,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,1976-03-16,1982-04-20,2019-09-30,1067.0,2020-04-18,WNA/IAEA,350.0
234,Fukushima Daini-2,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,1979-05-25,1984-02-03,2019-09-30,1067.0,2020-04-18,WNA/IAEA,351.0
235,Fukushima Daini-3,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,1981-03-23,1985-06-21,2019-09-30,1067.0,2020-04-18,WNA/IAEA,361.0
236,Fukushima Daini-4,37.315,141.024,Japan,JP,Shutdown,BWR,BWR-5,1981-05-28,1987-08-25,2019-09-30,1067.0,2020-04-18,WNA/IAEA,364.0
237,Fuqing-1,25.443,119.453,China,CN,Operational,PWR,CNP-1000,2008-11-21,2014-11-22,,1000.0,2016-03-09,WNA/IAEA,914.0
238,Fuqing-2,25.443,119.453,China,CN,Operational,PWR,CNP-1000,2009-06-17,2015-10-16,,1000.0,2016-03-09,WNA/IAEA,915.0
239,Fuqing-3,25.720278,119.383889,China,CN,Operational,PWR,CNP-1000,2010-12-31,2016-10-24,,1000.0,2017-02-10,WNA/IAEA,935.0
240,Fuqing-4,25.720278,119.383889,China,CN,Operational,PWR,CNP-1000,2012-11-17,2017-09-17,,1000.0,2018-03-10,WNA/IAEA,936.0
241,Fuqing-5,25.720278,119.383889,China,CN,Operational,PWR,HPR1000,2015-05-07,2021-01-29,,1000.0,2021-06-28,WNA/IAEA,937.0
242,Fuqing-6,25.720278,119.383889,China,CN,Under Construction,PWR,HPR1000,2015-12-22,,,1000.0,2016-03-09,WNA/Wikipedia/IAEA,938.0
243,G-2 (Marcoule),44.142,4.713,France,FR,Shutdown,GCR,,1955-03-01,1959-04-22,1980-02-02,36.0,2015-05-24,WNA/IAEA,172.0
244,G-3 (Marcoule),44.142,4.713,France,FR,Shutdown,GCR,,1956-03-01,1960-04-04,1984-06-20,36.0,2015-05-24,WNA/IAEA,161.0
245,Garigliano,41.258,13.835,Italy,IT,Shutdown,BWR,BWR-1,1959-11-01,1964-06-01,1982-03-01,150.0,2015-05-24,WNA/IAEA,325.0
246,GE Vallecitos,37.613056,-121.84,United States,US,Shutdown,BWR,25,1956-01-01,1957-10-19,1963-12-09,24.0,2021-06-06,IAEA,893.0
247,Genkai-1,33.518,129.837,Japan,JP,Shutdown,PWR,M (2-loop),1971-09-15,1975-10-15,2015-04-27,529.0,2015-05-24,WNA/IAEA,336.0
248,Genkai-2,33.518,129.837,Japan,JP,Shutdown,PWR,M (2-loop),1977-02-01,1981-03-30,2019-04-09,529.0,2019-11-22,WNA/IAEA,352.0
249,Genkai-3,33.518,129.837,Japan,JP,Operational,PWR,M (4-loop),1988-06-01,1994-03-18,,1127.0,2015-05-24,WNA/IAEA,372.0
250,Genkai-4,33.518,129.837,Japan,JP,Operational,PWR,M (4-loop),1992-07-15,1997-07-25,,1127.0,2015-05-24,WNA/IAEA,373.0
251,Gentilly-1 (Demo),46.395,-72.357,Canada,CA,Shutdown,HWLWR,HW BLWR 250,1966-09-01,1972-05-01,1977-06-01,250.0,2015-05-24,WNA/IAEA,47.0
252,Gentilly-2,46.395,-72.357,Canada,CA,Shutdown,PHWR,CANDU 6,1974-04-01,1983-10-01,2012-12-28,645.0,2015-05-24,WNA/IAEA,32.0
253,Dodewaard,51.899,5.687,Netherlands,NL,Shutdown,BWR,GE design,1965-05-01,1969-03-26,1997-03-26,54.0,2021-06-07,WNA/IAEA,422.0
254,Goesgen,47.366,7.969,Switzerland,CH,Operational,PWR,PWR 3 Loop,1973-12-01,1979-11-01,,1010.0,2021-01-05,WNA/IAEA,58.0
255,Golfech-1,44.105,0.845,France,FR,Operational,PWR,P4 REP 1300,1982-11-17,1991-02-01,,1310.0,2015-05-24,WNA/IAEA,219.0
256,Golfech-2,44.105,0.845,France,FR,Operational,PWR,P4 REP 1300,1984-10-01,1994-03-04,,1310.0,2015-05-24,WNA/IAEA,224.0
257,Grafenrheinfeld,49.984,10.186,Germany,DE,Shutdown,PWR,PWR,1975-01-01,1982-06-17,2015-06-27,1225.0,2015-08-23,WNA/IAEA,97.0
258,Grand Gulf-1,32.007,-91.045,United States,US,Operational,BWR,BWR-6 (Mark 3),1974-05-04,1985-07-01,,1250.0,2015-05-24,WNA/IAEA,715.0
259,Gravelines-1,51.014,2.138,France,FR,Operational,PWR,CP1,1975-02-01,1980-11-25,,910.0,2015-05-24,WNA/IAEA,174.0
260,Gravelines-2,51.014,2.138,France,FR,Operational,PWR,CP1,1975-03-01,1980-12-01,,910.0,2015-05-24,WNA/IAEA,175.0
261,Gravelines-3,51.014,2.138,France,FR,Operational,PWR,CP1,1975-12-01,1981-06-01,,910.0,2015-05-24,WNA/IAEA,181.0
262,Gravelines-4,51.014,2.138,France,FR,Operational,PWR,CP1,1976-04-01,1981-10-01,,910.0,2015-05-24,WNA/IAEA,182.0
263,Gravelines-5,51.014,2.138,France,FR,Operational,PWR,CP1,1979-10-01,1985-01-15,,910.0,2015-05-24,WNA/IAEA,208.0
264,Gravelines-6,51.014,2.138,France,FR,Operational,PWR,CP1,1979-10-01,1985-10-25,,910.0,2015-05-24,WNA/IAEA,209.0
265,Greifswald-1,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,1970-03-01,1974-07-12,1990-02-14,440.0,2015-05-24,WNA/IAEA,123.0
266,Greifswald-2,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,1970-03-01,1975-04-16,1990-02-14,408.0,2015-05-24,WNA/IAEA,124.0
267,Greifswald-3,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,1972-04-01,1978-05-01,1990-02-28,408.0,2015-05-24,WNA/IAEA,125.0
268,Greifswald-4,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-230,1972-04-01,1979-11-01,1990-07-22,408.0,2015-05-24,WNA/IAEA,126.0
269,Greifswald-5,54.143,13.668,Germany,DE,Shutdown,PWR,VVER V-213,1976-12-01,1989-11-01,1989-11-24,408.0,2015-05-24,WNA/IAEA,127.0
270,Grohnde,52.033,9.412,Germany,DE,Operational,PWR,PWR,1976-06-01,1985-02-01,,1289.0,2015-05-24,WNA/IAEA,101.0
271,Grosswelzheim,50.055,8.985,Germany,DE,Shutdown,BWR,Superheated steam reactor,1965-01-01,1970-08-02,1971-04-20,23.0,2015-05-24,WNA/IAEA,134.0
272,Gundremmingen-A,48.513,10.401,Germany,DE,Shutdown,BWR,,1962-12-12,1967-04-12,1977-01-13,237.0,2015-05-24,WNA/IAEA,104.0
273,Gundremmingen-B,48.513,10.401,Germany,DE,Shutdown,BWR,BWR-72,1976-07-20,1984-07-19,2017-12-31,1244.0,2018-03-10,WNA/IAEA,100.0
274,Gundremmingen-C,48.513,10.401,Germany,DE,Operational,BWR,BWR-72,1976-07-20,1985-01-18,,1249.0,2015-05-24,WNA/IAEA,102.0
275,H. B. Robinson-2,34.402,-80.158,United States,US,Operational,PWR,WH 3LP (DRYAMB),1967-04-13,1971-03-07,,700.0,2017-02-10,WNA/IAEA,619.0
276,Haddam Neck,41.483,-72.5,United States,US,Shutdown,PWR,,1964-05-01,1968-01-01,1996-12-05,582.0,2015-05-24,WNA/IAEA,605.0
277,Haiyang-1,36.704,121.382,China,CN,Operational,PWR,AP-1000,2009-09-24,2018-10-22,,1126.0,2019-06-02,WNA/IAEA,908.0
278,Haiyang-2,36.704,121.382,China,CN,Operational,PWR,AP-1000,2010-06-20,2019-01-09,,1126.0,2019-06-02,WNA/IAEA,909.0
279,Haiyang-3,36.704,121.382,China,CN,Planned,PWR,AP-1000,,,,,,WNA/IAEA,
280,Haiyang-4,36.704,121.382,China,CN,Planned,PWR,AP-1000,,,,,,WNA/IAEA,
281,Hallam,40.559,-96.785,United States,US,Shutdown,OCR,LMGMR (SGR-Sodium cooled graphite moderated reactor),1959-01-01,1963-11-01,1964-09-01,75.0,2015-08-23,WNA/IAEA,891.0
282,Hamaoka-1,34.621,138.141,Japan,JP,Shutdown,BWR,BWR-4,1971-06-10,1976-03-17,2009-01-30,516.0,2015-05-24,WNA/IAEA,335.0
283,Hamaoka-2,34.621,138.141,Japan,JP,Shutdown,BWR,BWR-4,1974-06-14,1978-11-29,2009-01-30,814.0,2015-05-24,WNA/IAEA,349.0
284,Hamaoka-3,34.621,138.141,Japan,JP,Operational,BWR,BWR-5,1983-04-18,1987-08-28,,1056.0,2015-05-24,WNA/IAEA,362.0
285,Hamaoka-4,34.621,138.141,Japan,JP,Operational,BWR,BWR-5,1989-10-13,1993-09-03,,1092.0,2015-05-24,WNA/IAEA,376.0
286,Hamaoka-5,34.621,138.141,Japan,JP,Operational,BWR,ABWR,2000-07-12,2005-01-18,,1325.0,2015-05-24,WNA/IAEA,843.0
287,Hamaoka-6,34.621,138.141,Japan,JP,Planned,ABWR,,,,,,,WNA,
288,Hanbit-1,35.405,126.41,South Korea,KR,Operational,PWR,WH F,1981-06-04,1986-08-25,,995.0,2021-04-19,IAEA,411.0
289,Hanbit-2,35.405,126.41,South Korea,KR,Operational,PWR,WH F,1981-12-01,1987-06-10,,988.0,2021-04-19,IAEA,412.0
290,Hanbit-3,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,1989-12-23,1995-03-31,,986.0,2021-04-19,IAEA,396.0
291,Hanbit-4,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,1990-05-26,1996-01-01,,970.0,2021-04-19,IAEA,397.0
292,Hanbit-5,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,1997-06-29,2002-05-21,,992.0,2021-04-19,IAEA,402.0
293,Hanbit-6,35.405,126.41,South Korea,KR,Operational,PWR,OPR-1000,1997-11-20,2002-12-24,,993.0,2021-04-19,IAEA,403.0
294,Hanul-1,37.09,129.384444,South Korea,KR,Operational,PWR,France CPI,1983-01-26,1988-09-10,,966.0,2021-02-14,IAEA,413.0
295,Hanul-2,37.09,129.384444,South Korea,KR,Operational,PWR,France CPI,1983-07-05,1989-09-30,,967.0,2021-04-19,IAEA,395.0
