osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw,plant_type,4c_offshore_id,windpowernet_id,wikidata_id,wikipedia_id,power_technology_id,hub_height
10187,DUNGW,,Dunmglass Wind Farm,T_DUNGW-1,-4.255802,57.25148000000001,wind,,onshore,,,,,,
10188,EDINW,GBR0004674,Edinbane Windfarm,T_EDINW-1,-6.229248,57.27904300000001,wind,41.0,onshore,,,,,,
10189,EWHLW,,Ewe Hill II Wind Farm,T_EWHLW-1,-3.205105,55.228662,wind,,onshore,,,,,,
10190,FALGW,GBR0004059,Fallago Rig Wind Farm,T_FALGW-1,-2.768555,55.93689499999999,wind,144.0,onshore,,,,,,
10191,FARR,GBR0004676,Farr Wind Farm,"T_FARR-1, T_FARR-2",-4.094167,57.325,wind,92.0,onshore,,,,,,
10192,FSDLW,,Freasdail Wind Farm,T_FSDLW-1,-5.479858999999999,55.780803000000006,wind,,onshore,,,,,,
10193,GLWSW,GBR0004368,Galawhistle Wind Farm,T_GLWSW-1,-3.921928,55.534273,wind,66.0,onshore,,,,,,
10194,GANW,,Galloper Offshore Windfarm 1,"T_GANW-11, T_GANW-13, T_GANW-22, T_GANW-24",2.035,51.893,wind,,offshore,galloper-united-kingdom-uk62,windfarm_en_16770_galloper,Q56026054,,galloper-offshore-wind-farm,88.0
10195,GNAPW,,Glen App Wind Farm,T_GNAPW-1,-5.026858,55.021378000000006,wind,,onshore,,,,,,
10196,GLCHW,,Glenchamber Wind Farm,E_GLCHW-1,-4.754334,54.96341999999999,wind,,onshore,,,,,,
10197,GLOFW,,Glens of Foudland,E_GLOFW-1,-2.878418,57.219608,wind,,onshore,,,,,,
10198,GFLDW,,Goole Fields 1 Windfarm,E_GFLDW-1,-0.8724209999999999,53.668356,wind,,onshore,,,,,,
10199,GORDW,GBR0003662,Gordonbush Wind Farm,"T_GORDW-1, T_GORDW-2",-3.834229,58.066256,wind,70.0,onshore,,,,,,
10200,GDSTW,,Gordonstown Windfarm,E_GDSTW-1,-2.484139,57.460944,wind,,onshore,,,,,,
10201,GRGBW,GBR0002510,Greater Gabbard Offshore Windfarm,"T_GRGBW-1, T_GRGBW-2, T_GRGBW-3",1.7138669999999998,52.066,wind,504.0,offshore,greater-gabbard-united-kingdom-uk05,"windfarm_en_1615_greater-gabbard-1, windfarm_en_7107_greater-gabbard-2",Q820613,Greater_Gabbard_wind_farm,greatergabbardoffsho,79.5
10202,GRIFW,GBR0004028,Griffin Wind Farm,"T_GRIFW-1, T_GRIFW-2",-3.394775,56.529199,wind,188.6,onshore,,,,,,
10203,GNFSW0,GBR0002488,Gunfleet Sands Demo  3,E_GNFSW-3,1.174444,51.739444,wind,12.0,offshore,"gunfleet-sands--united-kingdom-uk07, gunfleet-sands-3---demonstration-project-united-kingdom-uk73","windfarm_en_1601_gunfleet-sands-1, windfarm_en_7385_gunfleet-sands-2, windfarm_en_16762_gunfleet-sands-3-demonstration",Q5618736,Gunfleet_Sands_Offshore_Wind_Farm,gunfleetsandswindfar,80.0
