account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
100076,0,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100077,1305,2263,4032,1049,714,775,795,1087,181,247,801,330,142,289,86,39,
100078,1109,1397,1719,1943,1889,2814,1285,2252,610,1984,1233,2017,3304,1174,1178,782,
100079,0,1549,698,863,573,425,357,310,206,386,0,,,,,,
100080,297725,1393806,1015660,541476,917385,1238974,535820,297225,814561,461310,115503,4502,2717,1731,1924,466,
100081,162221,1193842,978269,472412,592267,1233427,388412,296002,673607,326552,115090,2914,2420,0,0,,
100082,1058,1843,1329,1218,1100,1236,845,283,260,242,187,359,0,,,,
100083,26,74,84,20,78,134,192,685,779,2,7,15,66,0,2,6,
100084,382,995,1178,603,2802,4347,3810,4016,1600,1015,854,2329,1374,620,238,65,
100085,0,0,0,24,0,0,4,45,0,0,0,0,,,,,
100086,13,12,17,12,11,0,18,28,3,6,20,1,9,9,0,0,
100087,486,496,767,151,550,68,0,553,21,17,104,33,497,411,40,285,
100088,0,0,0,8,40,67,1,0,16,0,0,20,93,201,12,11,
100089,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,
100090,1464,1101,1616,188,270,3971,2269,987,374,440,186,539,360,1125,374,147,
100091,21,32,13,0,11,28,114,60,13,78,31,79,11,220,51,18,
100092,0,13,3,0,0,0,8,0,0,0,0,0,5,8,0,3,
100093,186,342,138,16,11,90,5,10,0,37,19,21,24,84,8,29,
100094,156,37,5,29,104,381,60,86,91,60,40,72,16,274,28,18,
100095,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100096,13,13,13,0,0,0,0,60,0,0,0,0,0,0,0,0,
100097,4746603,4810622,4525798,4473802,3414113,4043236,4042595,3755153,3670006,3774032,3936555,4134819,3792053,4025353,3313833,3349868,
100098,9867,6877,7182,7124,7149,6680,6271,6722,75493,77073,81153,86814,83101,77102,70583,74619,
100099,0,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100100,76,169,11,,Not Reported,Not Reported,,,,,,,,,,,
100101,0,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100102,1,0,0,,Not Reported,Not Reported,,,,,,,,,,,
100103,0,138,0,,Not Reported,Not Reported,,,,,,,,,,,
100104,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,
100105,87,1157,3288,1763,2143,2679,2480,3005,788,424,0,0,638,0,204,520,
100106,6657,10702,9236,5302,8396,8752,4687,5287,3810,940,509,849,141,122,0,995,
100107,214941,226453,209565,260639,235249,200431,165389,179492,163237,141437,105325,103962,99390,107827,113439,77401,
100108,0,348,63,0,0,3,4,1,0,0,,,,,,,
100109,739,2745,2137,0,11,99,189,132,0,0,0,0,0,0,0,0,
100110,249,516,484,265,222,120,57,124,7,3,0,0,0,0,0,,
100111,7023,6915,5744,5764,4147,3537,2705,2052,1531,1619,1596,2764,3261,2760,2388,2577,
100112,17244,17069,17885,13822,10591,10192,11052,10373,9670,10690,8391,8548,10027,11832,10401,9360,
100113,3545,2946,4698,3187,3372,3273,2695,639,986,50,278,112,1130,186,40,145,
100114,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
100115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
100116,290,348,72,1,298,270,1578,31,32,71,32,421,1217,367,438,285,
100117,50504,65542,69277,59043,69391,67747,70064,79784,66370,56808,57508,60946,62616,53178,57700,36719,
100118,0,1959,2375,99,43,58,113,537,774,421,359,1361,151,77,19,19,
100119,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
100120,0,0,0,0,0,5,1,1,3,0,0,2,0,1,6,2,
100121,0,0,0,0,18,0,,,,,,,,,,,
100122,0,9,7,0,0,0,6,20,18,38,31,130,1,10,3,6,
100123,43,227,16,0,21,59,127,50,21,42,71,150,47,41,21,26,
100124,63519,62456,62047,57697,61347,61898,50184,46065,51699,55004,52509,53901,48553,51862,46978,37838,
100125,8,14,49,8,511,7,8,73,0,13,37,13,5,3,3,0,
100126,81,159,11,0,20,42,35,13,12,11,26,17,5,7,1,1,
100127,12954,14295,10362,6416,9855,29320,31250,43037,29505,31472,25003,33676,43135,26966,34562,37992,
100128,0,0,145,152,0,83,55,0,0,0,0,0,0,0,,,
100129,1870,1995,1136,4671,4071,8041,5093,9848,3673,5976,4552,5161,3379,4357,915,1592,
100130,292,70,91,327,3,76,431,2428,,,,,,,,,
100131,115414,136257,86348,105371,101846,140197,123815,136049,146517,150880,200231,236230,241689,126639,157334,154099,
100132,161616,179490,174907,163716,156800,207537,182318,179939,142732,144974,157370,149581,143752,133522,117212,106813,
100133,166454,175474,180224,187029,169642,178336,164887,162477,179336,165259,159261,201075,184545,199593,173228,178501,
100134,227983,255149,270573,261627,218010,268955,252665,236043,255035,226115,245567,205715,238655,237768,244053,253824,
100135,258505,399683,407482,375369,259534,350379,278367,269586,258484,283763,263509,225305,239854,260351,234750,100460,
100136,111100,152725,131768,117483,86083,91340,59695,65769,74947,76151,69971,101023,68247,60235,52033,43612,
100137,366210,433313,378128,357049,320547,365990,348592,350758,333043,328151,284431,257566,210002,240315,209793,186159,
100138,2199,2069,5187,3955,14263,3765,5350,6102,6181,6865,7471,7154,7018,7550,7134,7005,
100139,326843,375835,391953,400463,321650,333224,326612,172413,152002,160360,138047,124374,107458,94508,95068,82024,
100140,11383,11789,17306,12435,0,0,,,,,,,,,,,
100141,4867,3699,3522,2305,760,736,177,788,59,46,66,58,44,,,,
100142,27969,5798,2160,2050,0,0,380,998,5,35,48,53,80,126,98,,
100143,42137,48091,47241,39579,15551,49847,48550,48192,49953,47062,38893,27376,27921,27479,30070,32637,
100144,99,173,448,12,487,880,354,500,182,254,124,196,97,306,0,3,
100145,0,0,1,1,2,34,26,48,0,0,5,2,18,2357,0,0,
100146,419,40,497,61,142,1071,359,390,285,177,82,631,239,455,76,168,
100147,0,10,176,0,137,72,0,0,0,0,0,0,0,0,0,,
100148,1195,1501,1407,724,473,1236,365,1101,377,145,96,232,259,220,211,0,
100149,176,0,10,32,3,0,0,52,194,0,0,0,0,0,0,0,
100150,986,1194,1561,0,494,766,2029,2142,625,129,0,732,642,88,87,0,
100151,2293,1891,1335,1188,2480,5034,2420,4374,3120,927,583,695,519,764,767,549,
100152,3,0,8,71,0,7,0,0,0,0,0,0,0,27,0,,
100153,260,0,806,338,0,364,230,318,120,53,0,0,0,0,0,0,
100154,87,0,36,139,5,3,10,52,0,0,0,0,0,0,0,0,
100155,0,0,0,0,0,0,0,18,0,0,0,0,0,0,,,
100156,253,0,0,5,3,51,119,352,0,0,0,0,161,27,39,0,
100157,6613,6631,6867,6698,6179,6020,5663,6164,0,,,,,,,,
100158,8,41,42,11,0,93,21,10,27,5,17,4,0,,,,
100159,1085,3274,5348,2514,15004,10937,4500,5202,3230,4092,1293,11823,5913,3066,1298,190,
100160,4378,7408,7191,2396,13321,16725,7374,11104,7751,9971,3607,6241,2390,1302,417,434,
100161,0,,,,Not Reported,Not Reported,,,,,,,,,,,
100162,310383,341717,297770,396872,334351,303331,234473,218326,192331,181370,149737,148933,115733,156387,141017,89949,
100163,28,23,85,25,36,18,16,41,31,14,8,32,0,,,,
100164,5,87,0,38,0,105,25,97,47,14,17,61,21,22,8,0,
100165,0,0,221,0,570,140,71,192,147,60,27,2767,3939,8361,4359,133,
100166,570027,610070,648930,496221,540399,602166,524022,419263,404865,340438,365739,245096,262807,260667,265485,251128,
100167,16513,11022,10035,9878,13230,17471,15746,45429,28475,42954,9572,19982,11233,9901,7774,3255,
100168,0,0,0,481,898,2161,1467,3698,1575,1558,745,1550,2061,2039,1829,1483,
100169,37,0,50,Not Reported,,Not Reported,,,,,,,,,,,
100170,589,1148,432,700,1981,5698,5262,12933,9587,15324,4722,4019,2261,3382,3211,2436,
100171,8248,6468,4633,5278,7385,12172,9019,16466,5002,4379,4191,3267,688,2850,1190,599,
100172,0,0,5,0,0,0,,,,,,,,,,,
100173,393,433,471,438,485,456,456,384,483,448,832,737,717,1505,1388,1751,
100174,80943,83107,82993,79730,74239,67698,56781,57581,62424,57467,58739,60801,56728,56788,49801,46527,
100175,835,195,2263,7256,3413,5418,2089,2284,769,273,166,817,517,493,695,393,
100176,859,2422,3114,2690,1348,2289,1318,1235,397,9,1,5,396,0,,,
100177,0,0,0,0,0,0,0,,,,,,,,,,
100178,184490,178190,150802,134021,154188,127323,109038,117878,109617,108841,80687,71145,71026,98441,87586,85543,
100179,55380,49796,48127,58411,36899,37883,47074,31212,108303,92919,101777,111512,115106,118256,66844,72086,
100180,65915,60380,35597,31686,20693,27103,23513,20908,20847,19547,19495,17922,18403,19195,18342,15017,
100181,237410,283798,305318,244253,208344,268326,235613,197054,171651,186207,163033,142328,129784,127290,115147,109745,
100182,1513,2040,3704,0,Not Reported,Not Reported,,,,,,,,,,,
100183,94702,121608,139060,94539,72578,77263,61179,53511,49194,68351,69241,64786,55590,68332,60257,43407,
100184,68819,44408,9415,,Not Reported,Not Reported,,,,,,,,,,,
100185,42181,35932,73914,30638,16690,11378,13925,24549,6483,5875,3305,6757,6631,8100,11190,14849,
100186,647,532,536,1082,914,657,473,725,312,440,570,318,473,159,183,20,
100187,214,,,,Not Reported,Not Reported,,,,,,,,,,,
100188,28,21,39,27,278,263,62,206,90,72,119,117,433,44,175,168,
100189,3495,4760,5111,3252,1705,7911,2802,7963,1650,382,1184,2667,196,383,88,106,
100190,2,0,0,4,0,0,10,Not Reported,,,,,,,,,
100191,0,144,45,30,121,450,1,128,2,26,162,620,197,427,21,64,
100192,17923,13934,14087,10014,9949,7759,13971,5601,2249,2009,296,837,195,1558,206,1455,
100193,4,11,5,0,0,0,0,0,1,2,0,0,0,0,0,1,
100194,6,23,70,0,2,0,0,0,0,4,1,0,0,0,0,0,
100195,31429,27397,20376,20643,16781,167,87,993,294,508,0,564,848,794,1750,0,
100196,1,0,106,2,0,0,0,0,0,0,0,0,0,0,0,0,
100197,13730,14769,14917,12799,12327,19597,15327,17309,16682,21420,13707,550,375,157,18,8,
100198,14629,14371,15030,12845,19143,19835,13132,22074,16549,7631,77,29,118,111,73,1,
100199,3340,3739,6807,627,1081,7942,6123,11451,10711,13101,2880,5941,2446,4742,2019,531,
100200,13576,11440,14328,11652,37764,46970,33843,49687,36764,24767,3245,5772,2900,3345,2313,880,
100201,718024,757248,738773,747211,762657,799082,721117,673600,708378,494160,425895,446028,466476,457972,250791,95895,
100202,0,2,0,0,0,13,0,9,,,,,,,,,
100203,0,0,0,0,0,0,0,0,,,,,,,,,
100204,31987,45876,56575,45916,33127,48704,33792,30864,29096,38434,41884,43049,37069,35967,30449,14206,
100205,0,0,17,4,9,5,11,0,0,1,0,,,,,,
100206,0,0,0,22,86,11,0,0,0,0,0,,,,,,
100207,1631,2766,1698,1714,539,704,879,383,580,383,350,573,434,385,767,125,
100208,8,8,8,0,0,0,1,0,0,0,0,0,0,0,50,0,
100209,26554,30090,30700,36041,30608,28282,20736,22591,23034,20572,11113,,,,,,
100210,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100211,814,2053,1273,802,894,2119,1010,671,704,447,242,829,170,371,593,420,
100212,599,442,216,451,792,0,0,0,,,,,,,,,
100213,0,0,10,9,0,0,10,0,8,81,13,8,8,5,70,0,
100214,492,247,922,278,290,232,346,11,9,13,18,5,8,5,6,1,
100215,5128,2411,3909,1759,8132,5459,2392,197,167,117,311,1443,193,296,51,18,
100216,0,0,0,0,0,0,,,,,,,,,,,
100217,9381,9516,9258,8194,13809,10478,5228,996,856,504,273,1008,461,272,120,26,
100218,5,0,,,Not Reported,Not Reported,,,,,,,,,,,
