ngc_bmu_id,year,capture_price
ABRBO-1,2019,39.429609690850285
ABRBO-1,2020,32.75941462103361
ABRTW-1,2019,39.71107351531467
ABRTW-1,2020,32.61007122388256
ABTH7,2016,42.27128343234778
ABTH7,2017,48.68140508054183
ABTH7,2018,82.89609949928413
ABTH7,2019,60.73228621135803
ABTH7G,2016,53.20420869679281
ABTH7G,2018,141.4950312460145
ABTH7G,2019,46.73774827383575
ABTH7G,2020,39.205072428582994
ABTH8,2016,40.4704053650217
ABTH8,2017,48.85885907592612
ABTH8,2018,82.38203178633987
ABTH8,2019,57.22844033261797
ABTH8G,2016,54.41527171524828
ABTH8G,2017,34.943777777777775
ABTH8G,2018,65.78876265757388
ABTH8G,2019,47.60688234609566
ABTH8G,2020,40.10366036925719
ABTH9,2016,42.32093081772236
ABTH9,2017,48.55116414710069
ABTH9,2018,81.81548622693539
ABTH9,2019,49.9577394941536
ABTH9G,2016,52.86636026980558
ABTH9G,2017,48.6001238793806
ABTH9G,2018,64.3362540149565
ABTH9G,2019,48.805574870190604
ABTH9G,2020,39.59710283204604
ACHRW-1,2019,39.30665805423586
ACHRW-1,2020,30.79781282962731
AKGLW-2,2019,39.571923090657606
AKGLW-2,2020,34.02162379411847
ANSUW-1,2016,37.87642039436517
ANSUW-1,2017,43.017210948475075
ANSUW-1,2018,57.26592641828291
ANSUW-1,2019,40.68615994859197
ANSUW-1,2020,30.666166139942415
ARCHW-1,2016,39.42397901251747
ARCHW-1,2017,45.29337499820565
ARCHW-1,2018,57.54163770914279
ARCHW-1,2019,41.379312174177585
ARCHW-1,2020,33.965125074447634
ASHWW-1,2019,38.83773320634112
ASHWW-1,2020,32.03566946131702
BABAW-1,2016,37.98213910445907
BABAW-1,2017,45.667572473812484
BABAW-1,2018,57.05942624329938
BABAW-1,2019,41.40881321961251
BABAW-1,2020,34.09999980971391
BAGE-1,2016,40.900363624685724
BAGE-1,2017,47.90722979895713
BAGE-1,2018,55.53352245539058
BAGE-1,2019,49.24459722334177
BAGE-1,2020,37.345118721337734
BAGE-2,2016,95.2884149180317
BAGE-2,2017,84.895914975129
BAGE-2,2018,63.5345557555792
BAGE-2,2019,69.53678158005917
BAGE-2,2020,49.53922786906296
BEATO-1,2019,40.411534038302314
BEATO-1,2020,32.798191258467384
BEATO-2,2019,40.27133180774799
BEATO-2,2020,32.94029836767672
BEATO-3,2019,38.27131787669588
BEATO-3,2020,32.79907379898097
BEATO-4,2019,39.43586436389294
BEATO-4,2020,32.99063749353644
BEINW-1,2019,39.466498736331715
BEINW-1,2020,32.13302877296533
BETHW-1,2019,40.49228403941656
BETHW-1,2020,34.462705238226405
BHLAW-1,2017,52.62235614329769
BHLAW-1,2018,56.334534459070156
BHLAW-1,2019,42.205169413277126
BHLAW-1,2020,35.813105082151
BLKWW-1,2019,39.036393202644916
BLKWW-1,2020,31.323453669274695
BLLA-1,2016,37.57766610072936
BLLA-1,2017,44.54336718395885
BLLA-1,2018,59.79488905894392
BLLA-1,2019,40.87679833531232
BLLA-1,2020,33.54894773338992
BLLA-2,2019,40.86346837720172
BLLA-2,2020,33.47866157358888
BNWKW-1,2019,40.13541432296616
BNWKW-1,2020,34.10546777907247
BOWLW-1,2016,36.205511493181476
BOWLW-1,2017,43.9413638149672
BOWLW-1,2018,55.96035561966885
BOWLW-1,2019,39.57632232794958
BOWLW-1,2020,30.44288071564346
BRBEO-1,2017,43.4273698572639
BRBEO-1,2018,56.69915739236666
BRBEO-1,2019,39.91126543003434
BRBEO-1,2020,30.88481463651128
BRDUW-1,2016,36.44677583788489
BRDUW-1,2017,42.80743926836206
BRDUW-1,2018,57.468794281477
BRDUW-1,2019,39.44241055364637
BRDUW-1,2020,30.639580103772754
BRGG-1,2016,94.380645023143
BRGG-1,2017,78.48616447927091
BRGG-1,2018,80.55227670638567
BRGG-1,2019,72.85319738465748
BRGG-1,2020,88.17056823528995
BRYBW-1,2016,37.57120178847855
BRYBW-1,2017,43.534703127277396
BRYBW-1,2018,56.189151921703285
BRYBW-1,2019,40.57826755787896
BRYBW-1,2020,33.18873944735454
BRYP-1,2016,57.48975313652077
BRYP-1,2017,49.169619925213155
BRYP-1,2018,52.62879085373481
BRYP-1,2019,83.57528406133116
BTUIW-2,2019,40.25164115740907
BTUIW-2,2020,33.513945736800935
BURBW-1,2016,35.86434802417401
BURBW-1,2017,43.306327279412926
BURBW-1,2018,56.15223516339242
BURBW-1,2019,39.776427540992735
BURBW-1,2020,30.683772487105745
CAIRW-2,2016,37.043491026040975
CAIRW-2,2017,44.404945702155096
CAIRW-2,2018,56.036335548691575
CAIRW-2,2019,40.02546508939339
CAIRW-2,2020,32.85494463380792
CARR-1,2016,46.81845362015065
CARR-1,2017,47.49820451737018
CARR-1,2018,58.698623536551736
CARR-1,2019,45.10160903927254
CARR-1,2020,40.637026732116986
CARR-2,2016,46.34111426512751
CARR-2,2017,47.92379197147255
CARR-2,2018,58.37900684737061
CARR-2,2019,45.668788513136874
CARR-2,2020,40.93739749092985
CAS-BEU01,2019,42.20505304205524
CAS-BEU01,2020,36.83508585396148
CAS-CLU01,2019,41.22747332538725
CAS-CLU01,2020,36.05276160651649
CAS-CON01,2019,42.12296602814877
CAS-CON01,2020,35.83120066341682
CAS-GAR01,2019,43.05987466706531
CAS-GAR01,2020,35.19125195357598
CAS-KIL01,2019,41.944124678131715
CAS-KIL01,2020,37.70490717282908
CAS-MOR01,2019,41.448472343483175
CAS-MOR01,2020,36.89750391660666
CDCL-1,2016,43.19429850437097
CDCL-1,2017,45.30571485616761
CDCL-1,2018,57.72873059603873
CDCL-1,2019,44.38795382116216
CDCL-1,2020,38.653450736316685
CGTHW-1,2019,40.19433194591794
CGTHW-1,2020,35.515623325240824
CLAC-1,2016,50.26861177795971
CLAC-1,2017,52.32335549242508
CLAC-1,2018,65.93003026362462
CLAC-1,2019,47.421118445381424
CLAC-1,2020,42.74039146854934
CLDCW-1,2016,37.24913477063222
CLDCW-1,2017,44.8767057986124
CLDCW-1,2018,57.93053043934088
CLDCW-1,2019,41.10506785592654
CLDCW-1,2020,33.09076961829168
CLDNW-1,2016,37.758054945782824
CLDNW-1,2017,44.58380512638034
CLDNW-1,2018,57.56038390414576
CLDNW-1,2019,41.184287790474286
CLDNW-1,2020,33.35099917689033
CLDRW-1,2019,39.78829470330771
CLDRW-1,2020,32.26696599159115
CLDSW-1,2016,37.50143222925601
CLDSW-1,2017,44.44541856577711
CLDSW-1,2018,57.30324101581249
CLDSW-1,2019,41.27933088647998
CLDSW-1,2020,32.33924748124751
CLFLW-1,2019,38.53914794039584
CLFLW-1,2020,31.55494229867931
CNQPS-1,2016,47.47754947836742
CNQPS-1,2017,52.91970542282004
CNQPS-1,2018,65.09639323551914
CNQPS-1,2019,48.824999504819694
CNQPS-1,2020,42.61794248052321
CNQPS-2,2016,42.46846457903306
CNQPS-2,2017,50.862528725820844
CNQPS-2,2018,63.94160657714875
CNQPS-2,2019,56.5125192568839
CNQPS-2,2020,49.54928542904398
CNQPS-3,2016,46.31506408567067
CNQPS-3,2017,53.63015130760535
CNQPS-3,2018,60.346633369763325
CNQPS-3,2019,53.05650024137433
CNQPS-3,2020,46.70160074979777
CNQPS-4,2016,41.95210818585271
CNQPS-4,2017,51.235781101377114
CNQPS-4,2018,64.3068745354747
CNQPS-4,2019,49.52620505335248
CNQPS-4,2020,45.038862803398295
CORB-1,2016,37.596026549439294
CORB-1,2017,58.34960750837841
CORB-1,2018,81.10154157796127
CORB-1,2019,75.00649491198115
CORB-1,2020,81.65898969633652
COSO-1,2016,41.16806106658375
COSO-1,2017,46.71083719043942
COSO-1,2018,60.470801898448826
COSO-1,2019,41.56067228691991
COSO-1,2020,41.464976756507575
COTPS-1,2016,61.43869544781044
COTPS-1,2017,56.51018399731499
COTPS-1,2018,66.13714425905324
COTPS-1,2019,51.031070698458784
COTPS-2,2016,60.32778454453264
COTPS-2,2017,53.74757362523013
COTPS-2,2018,64.48006474161518
COTPS-2,2019,52.76043023971862
COTPS-3,2016,61.749630499117615
COTPS-3,2017,55.575313969402096
COTPS-3,2018,61.439860134273125
COTPS-3,2019,49.38720992467647
COTPS-4,2016,57.83453338402683
COTPS-4,2017,56.68195642674771
COTPS-4,2018,69.5294068391215
COTPS-4,2019,59.93101678662892
COUWW-1,2019,40.05642689841023
COUWW-1,2020,31.840340295739463
COWE1,2016,120.70745020136636
COWE1,2017,85.16905485991614
COWE1,2018,96.43171792576315
COWE1,2019,49.79003345808584
COWE1,2020,93.99090568319654
COWE2,2016,107.03016486560341
COWE2,2017,85.49792562762597
COWE2,2018,95.00958576058808
COWE2,2019,50.62825880372343
COWE2,2020,98.69853050639821
CRGHW-1,2016,36.93238084442827
CRGHW-1,2017,43.405431553624595
CRGHW-1,2018,57.03040365422075
CRGHW-1,2019,39.962871751610365
CRGHW-1,2020,31.29073469808527
CRMLW-1,2019,40.50202917253883
CRMLW-1,2020,34.05588758078407
CRUA-1,2016,60.60597768754972
CRUA-1,2017,57.3221862481101
CRUA-1,2018,69.19174498170774
CRUA-1,2019,51.783787316624014
CRUA-1,2020,46.79275875228909
CRUA-2,2016,50.216976866843666
CRUA-2,2017,56.508022051226575
CRUA-2,2018,72.89143972821178
CRUA-2,2019,52.16839943925806
CRUA-2,2020,48.688432995382854
CRUA-3,2016,81.29642185599036
CRUA-3,2017,65.35660858316139
CRUA-3,2018,69.91122930880915
CRUA-3,2019,52.07381283516973
CRUA-3,2020,50.316173058510536
CRUA-4,2016,48.47060810914797
CRUA-4,2017,58.1734265707331
CRUA-4,2018,68.98746322966541
CRUA-4,2019,53.60089787825889
CRUA-4,2020,55.10944755177046
CRYRW-2,2016,36.25961878018588
CRYRW-2,2017,44.03123049923765
CRYRW-2,2018,56.63696918889247
