year,ngc_bmu_id,load_factor
2015,ABTH7,0.7432265990308098
2015,ABTH7G,0.002164440770635461
2015,ABTH8,0.7646811955593746
2015,ABTH8G,0.0024781023035441536
2015,ABTH9,0.04441483824471493
2015,ABTH9G,0.002587751310463805
2015,ANSUW-1,0.3708986485797567
2015,ARCHW-1,0.29037607746624866
2015,BABAW-1,0.37198954843041065
2015,BAGE-1,0.34773044932509956
2015,BAGE-2,0.010031186693605719
2015,BLLA-1,0.2383948141885784
2015,BOWLW-1,0.5040670102687285
2015,BRDUW-1,0.37324457488151414
2015,BRGG-1,0.026282493872467113
2015,BRYBW-1,0.4288622982839527
2015,BRYP-1,0.013435801635895736
2015,BURBW-1,0.5312558487226742
2015,CAIRW-2,0.4830996762376577
2015,CDCL-1,0.2706166086628812
2015,CLAC-1,0.4277765518862071
2015,CLDCW-1,0.22443236813711487
2015,CLDNW-1,0.23810755373560433
2015,CLDSW-1,0.37691311253732285
2015,CNQPS-1,5.65166948183788e-05
2015,CNQPS-2,0.3735663802742648
2015,CNQPS-3,0.30066769742884236
2015,CNQPS-4,0.17697018046831478
2015,COSO-1,0.3880855192963898
2015,COTPS-1,0.359476565458082
2015,COTPS-2,0.4534615309599027
2015,COTPS-3,0.5260210013497001
2015,COTPS-4,0.3324362013751369
2015,COWE1,0.004868478520886993
2015,COWE2,0.004859894445168326
2015,CRGHW-1,0.4519195067475941
2015,CRUA-1,0.0777870239053716
2015,CRUA-2,0.24609142195115874
2015,CRUA-3,0.03602158534972894
2015,CRUA-4,0.03650018204579574
2015,CRYRW-2,0.3604381761072228
2015,DALSW-1,0.3399511325046292
2015,DAMC-1,0.44356344319278496
2015,DEEP-1,0.09500636021580632
2015,DIDC01G,0.004840622532401017
2015,DIDC02G,0.005754088877047382
2015,DIDC03G,0.006273710443809537
2015,DIDC04G,0.006210945737811281
2015,DIDCB5,0.6302330258334952
2015,DIDCB6,0.32051537752852816
2015,DINO-1,0.11977800977009313
2015,DINO-2,0.09260919976750888
2015,DINO-3,0.12448310570966395
2015,DINO-4,0.14936220990691523
2015,DINO-5,0.07742552347589014
2015,DINO-6,0.23731972119026995
2015,DNGB21,0.8277637208551113
2015,DNGB22,0.9743217910394039
2015,DRAXX-1,0.8500996566677033
2015,DRAXX-12G,0.001405993431855501
2015,DRAXX-2,0.8022917671100717
2015,DRAXX-3,0.918856565928971
2015,DRAXX-4,0.8146145370729685
2015,DRAXX-5,0.7596591367186117
2015,DRAXX-6,0.5708266007447558
2015,EDINW-1,0.38476694195735894
2015,EECL-1,0.13201512247564853
2015,EGGPS-1,0.17451152227941916
2015,EGGPS-2,0.16098053622526323
2015,EGGPS-3,0.4037082438150355
2015,EGGPS-4,0.4263136601070035
2015,ERRO-1,0.3883402667916934
2015,ERRO-2,0.3792425452617281
2015,ERRO-3,0.274847647012462
2015,FAARW-1,0.21710303607933992
2015,FAARW-2,0.23808829420070135
2015,FALGW-1,0.2915117771349999
2015,FASN-1,0.7426211709373332
2015,FASN-4,0.9453786846343257
2015,FASN2,0.5811854728313472
2015,FASN3,0.4073640233700345
2015,FAWN-1,0.805739685659255
2015,FDUNT-1,0.010883652367940394
2015,FELL-1,0.519395472292117
2015,FERR-3,0.8416668033555327
2015,FERR-5G,0.006148993172586639
2015,FERR-8G,0.006276758409785932
2015,FFES-1,0.04452346260405069
2015,FFES-3,0.04956110973463963
2015,FFES-4,0.09542861314902351
2015,FIDL-1,0.6448217319906265
2015,FIDL-2,0.6006952048563926
2015,FIDL-2G,0.0047543522428491755
2015,FIDL-3,0.4814842810793968
2015,FIDL-3G,0.005138930792309884
2015,FIDL-4,0.6364409227425538
2015,FINL-1,0.7666259705120044
2015,FOYE-1,0.1308528533875631
2015,FOYE-2,0.10321779000634208
2015,GDSTW-1,0.30704452834526424
2015,GFLDW-1,0.45224829753255447
2015,GLNDO-1,0.359731966634355
2015,GLOFW-1,0.3296991187028903
2015,GORDW-1,0.3770882599373694
2015,GRAI-6,0.433184232215523
2015,GRAI-7,0.42992515989216806
2015,GRAI-8,0.3751743925873279
2015,GRAI1G,0.0053637153838840676
2015,GRAI4G,0.004492215155666971
2015,GRGBW-1,0.6297333686357647
2015,GRGBW-2,0.6407826782303856
2015,GRGBW-3,0.6163867786796875
2015,GRIFW-1,0.2154701296437844
2015,GRIFW-2,0.2404068457952954
2015,GRMO-1,0.9564009347463707
2015,GYAR-1,0.6124317742045361
2015,GYMRO-15,0.516525062052016
2015,GYMRO-17,0.5362343142990269
2015,GYMRO-26,2.4582407181806274e-05
2015,GYMRO-28,0.5519127162933489
2015,HADHW-1,0.32515467919546603
2015,HEYM11,0.47295619023058355
2015,HEYM12,0.7971059159322299
2015,HEYM27,0.9211387179199592
2015,HEYM28,0.9136796250378622
2015,HINB-7,0.929186704822354
2015,HINB-8,0.9418062001547773
2015,HRSTW-1,0.23181700615804335
2015,HRTL-1,0.4034600361859699
2015,HRTL-2,0.7327660378051518
2015,HUMR-1,0.6539277732936332
2015,HUNB-7,0.7062098395880223
2015,HUNB-8,0.9334335515770171
2015,INDQ-1,0.0051934947768281095
2015,IRNPS-2,0.548853142474156
2015,KEAD-1,0.13074617253563656
2015,KEADGT-3,0.015844402504850266
2015,KILBW-1,0.3800269585074897
2015,KILNS-1,0.010854973152590871
2015,LAGA-1,0.16235789077443316
2015,LARYO-1,0.5271156380711902
2015,LARYO-2,0.5434940954507196
2015,LARYO-3,0.5441990435540951
2015,LARYO-4,0.5388525098426831
2015,LBAR-1,0.5220736254267744
