dictionary_id,longitude,latitude
10000,-3.603516,57.480403
10001,-1.26757,51.62363
10002,-3.404866,51.387312
10003,-0.648193,53.245495
10004,-0.626221,53.748711
10005,-0.834961,53.709714
10006,-1.032715,53.735716
10007,-2.823486,53.350551
10008,-2.970539,51.549071
10009,-3.438721,56.0475
10010,-1.52083,55.20417
10011,-1.219482,52.855864
10012,-1.94458,52.729639
10013,-3.043213,51.611195
10014,-0.53833,53.363665
10015,-2.968404,55.968502
10016,-1.656805,52.773608
10017,-0.792565,53.22902
10018,-2.504883,52.603048
10019,0.602702,51.418947
10020,0.391677,51.454926
10021,-5.031738,51.720223
10022,0.153809,51.556582
10024,-3.339844,51.37178
10026,-0.32959,53.442264
10027,-2.504883,53.455349
10028,-1.343039,53.73191
10029,-3.080651,53.231871
10030,-0.86792,52.247983
10031,0.834961,51.542919
10032,-0.86792,53.219191
10033,0.549316,51.460852
10034,-3.208008,53.140181
10036,-0.022763,51.662337
10037,-3.3061,56.1689
10038,1.625977,52.596375
10039,-0.494385,53.585984
10040,-0.25511,53.65952
10042,0.380117,52.727256
10043,-3.966064,50.492463
10044,-0.230713,52.22107
10045,-1.351318,50.903033
10046,0.889893,51.378638
10047,-4.996378,51.684368
10048,-0.204697,52.57694
10049,-2.592773,53.330873
10050,-3.153076,54.156001
10051,-0.285645,51.815407
10052,-0.131836,53.833081
10053,-2.614746,51.481383
10054,-3.065186,51.740636
10055,-0.252686,50.882243
10056,-0.131836,53.618579
10057,-0.252686,52.816043
10058,-0.98877,53.041213
10059,0.098877,52.62306
10060,-1.130216,54.573479
10061,-1.655244,53.677086
10063,-2.534686,53.266177
10064,-1.399444,52.905812
10065,-1.351433,50.830367
10066,-1.351433,50.830367
10067,0.703125,51.47454
10068,-3.032227,55.930741
10070,0,53.690201
10071,-2.405816,53.165426
10072,-3.03265,53.23375
10073,-0.626267,51.523953
10074,-2.190333,52.990359
10075,-2.72541,53.31544
10076,-2.72541,53.31544
10077,0.7598,51.2599
10078,-3.44926,51.711177
10079,-1.270137,53.090486
10080,-3.005964,51.127515
10081,-0.203475,54.086555
10082,1.328881,50.816696
10083,-1.351433,50.830367
10086,-1.349033,53.071393
10087,-1.932818,52.300184
10088,0.907475,51.128007
10089,-2.9983234,51.5877364
10091,-1.2864,50.7459
10097,-5.064697,50.373496
10099,0.602702,51.418947
10101,-1.867676,57.527622
10104,-0.2575,51.546
10107,-4.552586,57.444705
10108,-4.918736,56.277573
10109,-3.778355,56.716948
10110,-4.830066,57.619203
10111,-4.011473,53.065902
10112,-3.842674,53.191545
10115,-3.790283,56.734649
10116,-4.793703,57.325887
10117,-3.614502,56.279961
10118,-5.289194,57.066143
10119,-5.174561,57.15412
10120,-4.307751,56.470679
10121,-3.973026,52.920708
10122,-4.962463,57.144936
10123,-5.251465,56.163906
10124,-3.899297,52.396207
10125,-4.735107,56.200593
10127,0.89694,51.74139
10128,0.963889,50.913889
10130,-1.098633,54.686534
10131,-2.916111111,54.02888889
10133,-3.317871,51.138001
10134,-4.822998,55.646599
