osuked_id,esail_id,gppd_idnr,name,sett_bmu_id,longitude,latitude,fuel_type,capacity_mw
10000,MARK,,Rothes Bio-Plant CHP,"E_MARK-1, E_MARK-2",-3.6035160000000004,57.480403,biomass,
10001,DIDC,,Didcot A (G),"T_DIDC1, T_DIDC2, T_DIDC4, T_DIDC3",-1.26757,51.62363,coal,
10002,ABTH,GBR1000374,Aberthaw B,"T_ABTH7, T_ABTH8, T_ABTH9",-3.404866,51.387312,coal,1586.0
10003,COTPS,GBR1000142,Cottam,"T_COTPS-1, T_COTPS-2, T_COTPS-3, T_COTPS-4",-0.648193,53.245495,coal,2008.0
10004,DRAXX,GBR0000174,Drax,"T_DRAXX-1, T_DRAXX-2, T_DRAXX-3, T_DRAXX-4, T_DRAXX-5, T_DRAXX-6",-0.626221,53.748711,"coal, biomass",1980.0
10005,EGGPS,GBR1000147,Eggborough,"T_EGGPS-1, T_EGGPS-2, T_EGGPS-3, T_EGGPS-4",-0.8349610000000001,53.709714,coal,1960.0
10006,FERR,,Ferrybridge C,"T_FERR-3, T_FERR-4, T_FERR-1, T_FERR-2",-1.032715,53.735716000000004,coal,
10007,FIDL,,Fiddlers Ferry,"T_FIDL-1, T_FIDL-2, T_FIDL-3, T_FIDL-4",-2.823486,53.350551,coal,
10008,FIFO,,Fifoots,"T_FIFO-13, T_FIFO-14, T_FIFO-15",-2.970539,51.549071000000005,coal,
10009,LOAN,,Longannet,"T_LOAN-1, T_LOAN-2, T_LOAN-3, T_LOAN-4",-3.4387209999999997,56.0475,coal,
10010,LYNE,,Lynemouth Generator,"E_LYNE1, E_LYNE2, E_LYNE3",-1.52083,55.20417,coal,
10011,RATS,GBR1000496,Ratcliffe on Soar,"T_RATS-1, T_RATS-2, T_RATS-3, T_RATS-4",-1.219482,52.855864000000004,coal,2000.0
10012,RUGPS,,Rugeley B,"T_RUGPS-6, T_RUGPS-7",-1.94458,52.729639,coal,
10013,USKM,GBR2000811,Uskmouth,"T_USKM-13, T_USKM-14, T_USKM-15",-3.043213,51.611195,coal,230.0
10014,WBUPS,GBR1000143,West Burton A,"T_WBUPS-1, T_WBUPS-2, T_WBUPS-3, T_WBUPS-4",-0.53833,53.363665000000005,coal,2012.0
10015,COCK,,Cockenzie,"T_COCK-1, T_COCK-2, T_COCK-3, T_COCK-4",-2.968404,55.968502,coal,
10016,DRKPS,,Drakelow,"T_DRKPS-9, T_DRKPS-10, T_DRKPS-12",-1.6568049999999999,52.773607999999996,coal,
10017,HMRPS,,High Marnham,"T_HMRPS-1, T_HMRPS-2, T_HMRPS-3, T_HMRPS-4, T_HMRPS-5",-0.792565,53.22902,coal,
10018,IRNPS,,Ironbridge B,"T_IRNPS-1, T_IRNPS-2",-2.504883,52.603048,coal,
10019,KINO,,Kingsnorth,"T_KINO-1, T_KINO-2, T_KINO-3, T_KINO-4",0.6027020000000001,51.418946999999996,coal,
10020,TILB,,Tilbury B,"T_TILB10, T_TILB-7, T_TILB-8, T_TILB-9",0.391677,51.454926,coal,
10021,BAGE,GBR1000312,Baglan Bay,"T_BAGE-1, T_BAGE-2",-5.031738,51.720223,gas,520.0
10022,BARK,,Barking 2 MGT stage 1,T_BARK-1,0.153809,51.556582,gas,
10023,BARKB,,Barking 2 MGT stage 2,T_BARKB2,0.147,51.521,gas,
10024,BRYP,GBR2000125,Barry,E_BRYP-1,-3.3398440000000003,51.37178,gas,235.0
10025,AESB,,Barry (Under AES Ownership),E_AESB-1,-3.228712,51.408134000000004,gas,
10026,BRGG,GBR2000126,Brigg,E_BRGG-1,-0.32959,53.442264,gas,150.0
10027,CARR,GBR2000124,Carrington,"T_CARR-1, T_CARR-2",-2.504883,53.455349,gas,900.0
10028,MPGEN002,GBR1000113,Castleford CCGT,2__MPGEN002,-1.3430389999999999,53.73191,gas,56.0
10029,CNQPS,GBR1000492,Connahs Quay,"T_CNQPS-1, T_CNQPS-2, T_CNQPS-3, T_CNQPS-4",-3.080651,53.231871,gas,1380.0
10030,CORB,GBR1000077,Corby,E_CORB-1,-0.86792,52.247983000000005,gas,401.0
10031,COSO,GBR1000211,Coryton,T_COSO-1,0.8349610000000001,51.542919,gas,800.0
10032,CDCL,GBR1000493,Cottam Development Centre Limited,T_CDCL-1,-0.86792,53.219191,gas,395.0
10033,DAMC,GBR1000465,Damhead Creek,T_DAMC-1,0.549316,51.460852,gas,805.0
10034,DEEP,GBR2000262,Deeside,T_DEEP-1,-3.208008,53.140181000000005,gas,515.0
10035,DIDCB,GBR1000369,Didcot B,"T_DIDCB5, T_DIDCB6",-1.26757,51.62363,gas,1470.0
10036,EECL,GBR1000494,Enfield Energy,T_EECL-1,-0.022763,51.662337,gas,408.0
10037,FIFE,,Fife CCGT,T_FIFE-1,-3.3061,56.1689,gas,
10038,GYAR,GBR1000370,Great Yarmouth,E_GYAR-1,1.625977,52.596375,gas,420.0
10039,KEAD,,Keadby,T_KEAD-1,-0.494385,53.585983999999996,gas,
