sett_bmu_id,ngc_bmu_id,bmu_root,name,primary_fuel_type,detailed_fuel_type,longitude,latitude
T_COCK-3,COCK-3,COCK,Cockenzie,coal,coal_opt_out,-2.968404,55.968502
T_COCK-4,COCK-4,COCK,Cockenzie,coal,coal_opt_out,-2.968404,55.968502
T_DIDC3,DIDC3,DIDC,Didcot A 3,coal,coal_opt_out,-1.26757,51.62363
T_DRKPS-9,,DRKPS,Drakelow,coal,coal_opt_out,-1.656805,52.773608
T_DRKPS-10,,DRKPS,Drakelow ,coal,coal_opt_out,-1.656805,52.773608
T_DRKPS-12,,DRKPS,Drakelow ,coal,coal_opt_out,-1.656805,52.773608
T_FERR-1,FERR-1,FERR,Ferrybridge C,coal,coal_opt_out,-1.032715,53.735716
T_FERR-2,FERR-2,FERR,Ferrybridge C,coal,coal_opt_out,-1.032715,53.735716
T_HMRPS-1,,HMRPS,High Marnham,coal,coal_opt_out,-0.792565,53.22902
T_HMRPS-2,,HMRPS,High Marnham,coal,coal_opt_out,-0.792565,53.22902
T_HMRPS-3,,HMRPS,High Marnham,coal,coal_opt_out,-0.792565,53.22902
T_HMRPS-4,,HMRPS,High Marnham,coal,coal_opt_out,-0.792565,53.22902
T_HMRPS-5,,HMRPS,High Marnham,coal,coal_opt_out,-0.792565,53.22902
T_IRNPS-1,IRNPS-1,IRNPS,Ironbridge B,coal,coal_opt_out,-2.504883,52.603048
T_IRNPS-2,IRNPS-2,IRNPS,Ironbridge B,coal,coal_opt_out,-2.504883,52.603048
T_KINO-1,KINO-1,KINO,Kingsnorth,coal,coaloil_opt_out,0.6027020000000001,51.418947
T_KINO-2,KINO-2,KINO,Kingsnorth,coal,coaloil_opt_out,0.6027020000000001,51.418947
T_KINO-3,KINO-3,KINO,Kingsnorth,coal,coaloil_opt_out,0.6027020000000001,51.418947
T_KINO-4,KINO-4,KINO,Kingsnorth,coal,coaloil_opt_out,0.6027020000000001,51.418947
T_TILB10,TILB10,TILB,Tilbury B,coal,coaloil_opt_out,0.391677,51.454926
T_TILB-7,TILB-7,TILB,Tilbury B,coal,coaloil_opt_out,0.391677,51.454926
T_TILB-8,TILB-8,TILB,Tilbury B,coal,coaloil_opt_out,0.391677,51.454926
T_TILB-9,TILB-9,TILB,Tilbury B,coal,coaloil_opt_out,0.391677,51.454926
T_BAGE-1,BAGE-1,BAGE,Baglan Bay Unit 1,gas,ccgt,-5.031738,51.720223
T_BAGE-2,BAGE-2,BAGE,Baglan Bay Unit 2,gas,ccgt,-5.031738,51.720223
T_BARK-1,BARK-1,BARK,Barking 2 MGT stage 1,gas,ccgt,0.153809,51.556582
T_BARKB2,BARKB2,BARKB,Barking 2 MGT stage 2,gas,ccgt,0.147,51.521
E_BRYP-1,BRYP-1,BRYP,Barry,gas,ccgt,-3.3398440000000003,51.37178
E_AESB-1,,AESB,Barry (Under AES Ownership),gas,ccgt,-3.228712,51.408134
E_BRGG-1,BRGG-1,BRGG,Brigg,gas,ccgt,-0.32959,53.442264
T_CARR-1,CARR-1,CARR,Carrington Unit 1,gas,ccgt,-2.504883,53.455349
T_CARR-2,CARR-2,CARR,Carrington Unit 2,gas,ccgt,-2.504883,53.455349
2__MPGEN002,YEP-PGU02,YEP-PGU02,Castleford CCGT,gas,ccgt,-1.343039,53.73191
T_CNQPS-1,CNQPS-1,CNQPS,Connahs Quay,gas,ccgt,-3.080651,53.231871
T_CNQPS-2,CNQPS-2,CNQPS,Connahs Quay,gas,ccgt,-3.080651,53.231871
T_CNQPS-3,CNQPS-3,CNQPS,Connahs Quay,gas,ccgt,-3.080651,53.231871
T_CNQPS-4,CNQPS-4,CNQPS,Connahs Quay,gas,ccgt,-3.080651,53.231871
E_CORB-1,CORB-1,CORB,Corby,gas,ccgt,-0.86792,52.24798300000001
T_COSO-1,COSO-1,COSO,Coryton,gas,ccgt,0.8349610000000001,51.542919
T_CDCL-1,CDCL-1,CDCL,Cottam Development Centre Limited,gas,ccgt,-0.86792,53.219191
T_DAMC-1,DAMC-1,DAMC,Damhead Creek,gas,ccgt,0.549316,51.460852
T_DEEP-1,DEEP-1,DEEP,Deeside,gas,ccgt,-3.208008,53.14018100000001
T_DIDCB5,DIDCB5,DIDCB,Didcot B 5,gas,ccgt,-1.26757,51.62363
T_DIDCB6,DIDCB6,DIDCB,Didcot B 6,gas,ccgt,-1.26757,51.62363
T_EECL-1,EECL-1,EECL,Enfield Energy,gas,ccgt,-0.022763,51.662337
T_FIFE-1,FIFE-1,FIFE,Fife CCGT,gas,ccgt,-3.3061,56.1689
E_GYAR-1,GYAR-1,GYAR,Great Yarmouth,gas,ccgt,1.625977,52.596375
T_KEAD-1,KEAD-1,KEAD,Keadby,gas,ccgt,-0.494385,53.585984
T_KILNS-1,KILNS-1,KILNS,Killingholme 1,gas,ccgt,-0.25511,53.65951999999999
T_KILLPG-1,KILLPG-1,KILLPG,Killingholme 2,gas,ccgt,-0.25511,53.65951999999999
T_KILLPG-2,KILLPG-2,KILLPG,Killingholme 2,gas,ccgt,-0.25511,53.65951999999999
E_KLYN-A-1,KLYN-A-1,KLYNA,Kings Lynn,gas,ccgt,0.380117,52.727256
T_LAGA-1,LAGA-1,LAGA,Langage,gas,ccgt,-3.966064,50.492463
T_LBAR-1,LBAR-1,LBAR,Little Barford,gas,ccgt,-0.230713,52.22107000000001
T_MRWD-1,MRWD-1,MRWD,Marchwood,gas,ccgt,-1.351318,50.903033
T_MEDP-1,MEDP-1,MEDP,Medway,gas,ccgt,0.889893,51.378638
T_PEMB-11,PEMB-11,PEMB,Pembroke Power Station - Unit 1,gas,ccgt,-4.996378,51.684368
T_PEMB-21,PEMB-21,PEMB,Pembroke Power Station - Unit 2,gas,ccgt,-4.996378,51.684368
T_PEMB-31,PEMB-31,PEMB,Pembroke Power Station - Unit 3,gas,ccgt,-4.996378,51.684368
T_PEMB-41,PEMB-41,PEMB,Pembroke Power Station - Unit 4,gas,ccgt,-4.996378,51.684368
T_PEMB-51,PEMB-51,PEMB,Pembroke Power Station - Unit 5,gas,ccgt,-4.996378,51.684368
E_PETEM1,PETEM1,PETEM,Peterborough,gas,ccgt,-0.204697,52.57694
T_ROCK-1,ROCK-1,ROCK,Rocksavage,gas,ccgt,-2.592773,53.330873
E_ROOS-1,ROOS-1,ROOS,Roosecote,gas,ccgt,-3.153076,54.156001
T_RYHPS-1,RYHPS-1,RYHPS,Rye House,gas,ccgt,-0.285645,51.815407
T_SCCL-1,SCCL-1,SCCL,Saltend South,gas,ccgt,-0.13183599999999998,53.83308100000001
T_SCCL-2,SCCL-2,SCCL,Saltend South,gas,ccgt,-0.13183599999999998,53.83308100000001
T_SCCL-3,SCCL-3,SCCL,Saltend South,gas,ccgt,-0.13183599999999998,53.83308100000001
T_SEAB-1,SEAB-1,SEAB,Seabank 1,gas,ccgt,-2.614746,51.481383
