eu_planet_id,capacity,lat,long,ecd_unit_id,gcpt_id,gcpt_unit_name,platts_id,ecd_plant_id,eutl_id,eu_planet_plant_name,ecd_unit_name,ecd_fuel_type,ecd_nameplate_capacityw,entsoe_country,entsoe_unit_name,entsoe_fuel_type
248,74,43.353056,-4.045833,NA,G110296,Torrelavega Mill Unit S1,1172988,NA,NA,Torrelavega Mill power station,NA,NA,NA,NA,NA,NA
249,1320,42.1269,11.7583,IT-7-1,G110298,Torrevaldaliga Nord power station Unit 1,1193907,IT-7,IT 439,Torrevaldaliga Nord power station,Torrevaldaliga Nord Sezione 2,hard coal,660,IT,UP_TORREVALN_2,Fossil Hard coal
25,773,49.363454,7.237098,DE-24-2,G100773,Bexbach-C power station Unit 1,1105483,DE-24,DE 852,Bexbach-C power station,Bexbach,hard coal,780,DE,BEXBACH_A_GESAMT,Fossil Hard coal
250,125,46.126132,15.061808,NA,G110308,Trbovlje power station Unit 4,1153730,NA,NA,Trbovlje power station,NA,NA,NA,NA,NA,NA
251,162,49.831905,18.211305,CZ-29-1,G110310,Trebovice TG 15,1153743,CZ-29,CZ 209,Trebovice power station,NA,NA,NA,NA,NA,NA
252,32,49.677778,18.672778,NA,G110319,Trinec-E3 No 3,1251597,NA,NA,Trinec-E3 power station,NA,NA,NA,NA,NA,NA
253,534,50.64622167,13.98540938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,1650,44.669722,23.407778,NA,G110362,Turceni power station New Unit 6,1154345,NA,NA,Turceni power station,NA,NA,NA,NA,NA,NA
255,1305,50.947717,14.91171,NA,G110371,Turów power station Unit 10,1154385,NA,NA,Turów power station,NA,NA,NA,NA,NA,NA
256,800,50.381868,13.339973,CZ-15-1,G110381,Tusimice-2 power station Unit 1,1154401,CZ-15,CZ 129,Tusimice power station,Tusimice 1,lignite,200,CZ,ETU2_G21___,Fossil Brown coal/Lignite
257,50,50.121801,19.020002,NA,G113460,Tychy 2,,NA,NA,Tychy power station,NA,NA,NA,NA,NA,NA
258,192,48.615945,21.194562,NA,G110415,U.S. Steel Kosice Works power station,1200295,NA,NA,U.S. Steel Kosice Works power station,NA,NA,NA,NA,NA,NA
259,36,47.983333,7.85,NA,G110482,Universitat Freiburg,,NA,NA,Universitat Freiburg power station,NA,NA,NA,NA,NA,NA
26,155,53.147965,23.169649,NA,G100840,Bialystok power station Unit 1,1105864,NA,NA,Bialystok power station,NA,NA,NA,NA,NA,NA
260,80,59.58845395,16.51352224,NA,G110538,Vaesteras 1,1102769,NA,NA,Vaesteras power station,NA,NA,NA,NA,NA,NA
261,120,59.353269,18.100901,SE-11-1,G110565,Värtaverket-2 power station Unit 1,1155587,SE-11,SE 45,Värtaverket power station,Vaertaverket II 1,hard coal,141.304347826087,SE,KVV6 Värtaverket,Fossil Hard coal
262,238,63.09151,21.552176,FI-29-1,G110566,Vaskiluoto power station Unit 2,1155621,FI-29,FI 358,Vaskiluoto power station,Vaskiluoto 2,hard coal,250,FI,Vaskiluoto B2,Fossil Hard coal
263,514,42.818529,-4.8547,ES-33-1,G110572,Velilla del Río Carrión power station Unit 1,1117790,ES-33,ES 271,Velilla del Río Carrión power station,Velilla I,hard coal,154.94,ES,GUARDO 1,Fossil Hard coal
264,120,43.948363,22.850904,NA,G110587,Vidin Works power station Unit 1,1169447,NA,NA,Vidin Works power station,NA,NA,NA,NA,NA,NA
265,440,48.5525,21.972625,NA,G110646,Vojany EVO I 1,1156387,NA,NA,Vojany I power station,NA,NA,NA,NA,NA,NA
266,466,49.249374,6.880646,DE-220-1,G110652,Völklingen-Fenne-B power station Unit 1,1156422,DE-220,DE 851,Völklingen-Fenne power station,Voelklingen-Fenne model,hard coal,233,DE,VOELKLINGEN_MKV,Fossil Hard coal
267,220,50.255816,12.695936,CZ-77-1,G110659,Vresova TPS power station Unit 1,1241351,CZ-77,CZ 117,Vresova TPS power station,Vresova 1,lignite,200,CZ,EPR2_G21___,Fossil Brown coal/Lignite
268,90,50.616667,7.133333,DE-226-1,G110686,Wachtberg 1,1190648,DE-226,DE 1603,Wachtberg power station,Frechen/Wachtberg,lignite,128.260869565217,DE,Fabrik Frechen/Wachtberg,Fossil Brown coal/Lignite
269,37,51.16631726,12.07639503,DE-131-1,G110687,Waehlitz 1,1156670,DE-131,DE 1131,Waehlitz power station,NA,NA,NA,NA,NA,NA
27,135,49.811696,19.052943,NA,G112551,Bielsko-Biala power station Unit 1,,NA,NA,Bielsko-Biala power station,NA,NA,NA,NA,NA,NA
270,32,50.755704,16.247113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,267,49.01766953,9.157693253,DE-227-1,G110698,Walheim 1,1156798,DE-227,DE 1464,Walheim power station,NA,NA,NA,NA,NA,NA
272,790,51.528611,6.711944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,410,51.528611,6.711944,NA,G110702,Walsum power station Unit 7,1156824,NA,NA,Walsum power station,NA,NA,NA,NA,NA,NA
274,289,53.566837,9.725696,DE-228-1,G110760,Wedel New power station Unit 1,1157011,DE-228,DE 952,Wedel power station,Wedel 1,hard coal,151,DE,HKW Wedel Block 1,Fossil Hard coal
275,724,49.335278,7.030556,DE-192-3,G110779,Weiher-3 power station Unit 1,1157049,DE-192,DE 845,Weiher-3 power station,Quierschied-Weiher III,hard coal,724,DE,WEIHER_C,Fossil Hard coal
276,1958,50.839578,6.322382,NA,G110849,Weisweiler power station Unit A,1157087,NA,NA,Weisweiler power station,NA,NA,NA,NA,NA,NA
277,330,51.275736,7.707286,NA,G110886,Werdohl-Elverlingsen power station Unit 3,1157131,NA,NA,Werdohl-Elverlingsen power station,NA,NA,NA,NA,NA,NA
278,140,52.433143,10.78735,DE-234-1,G110888,Werk Wolfsburg Nord power station Unit A,1172783,DE-234,DE 1527,Werk Wolfsburg Nord power station,NA,NA,NA,NA,NA,NA
279,300,52.442154,10.765303,DE-236-1,G110890,Werk Wolfsburg West power station Unit A,1156588,DE-236,DE 1515,Werk Wolfsburg West power station,Wolfsburg West 1,hard coal,153,DE,HKW West Block 1,Fossil Hard coal
28,165,50.355744,18.291242,NA,G100944,Blachownia 3,1106196,NA,NA,Blachownia power station,NA,NA,NA,NA,NA,NA
280,665,51.673532,7.720513,DE-232-1,G110892,Werne Gerstein Block K power station Unit 1,1157172,DE-232,DE 1481,Werne Gerstein Block K power station,NA,NA,NA,NA,NA,NA
281,1924,53.362719,-0.811836,UK-59-1,G110893,West Burton power station Unit 1,1157202,UK-59,GB 145,West Burton power station,West Burton 1,hard coal,546.739130434783,GB,WBUPS-1,Fossil Hard coal
282,800,51.679297,7.971558,NA,G110908,Westfalen Unit D,1160107,NA,NA,Westfalen,NA,NA,NA,NA,NA,NA
283,830,53.5748,8.137,DE-247-1,G110939,Wilhelmshaven Engie,1198219,DE-247,DE 205778,Wilhelmshaven Engie,Wilhelmshaven Engie,hard coal,794.565217391304,DE,DEWHV______1_____,Fossil Hard coal
284,788,53.565866,8.146202,DE-233-1,G110940,Wilhelmshaven power station Unit 1,1157469,DE-233,DE 969,Wilhelmshaven power station,Wilhelmshaven 1,hard coal,788.1,DE,Wilhelmshaven,Fossil Hard coal
285,66,54.5894,-1.1185,NA,G110949,Wilton Cogen-B No 1,1157498,NA,NA,Wilton Cogen power station,NA,NA,NA,NA,NA,NA
286,32,51.533333,20.016667,NA,G110960,Wistom Works 6,1157572,NA,NA,Wistom Works power station,NA,NA,NA,NA,NA,NA
287,140,52.43170255,10.78695738,NA,G110961,Wolfsburg North A,1172783,NA,NA,Wolfsburg North power station,NA,NA,NA,NA,NA,NA
288,306,52.44154409,10.76507939,NA,G110963,Wolfsburg West 1,1156588,NA,NA,Wolfsburg West power station,NA,NA,NA,NA,NA,NA
289,255,51.123715,17.02457,PL-234-1,G110973,Wroclaw power station Unit 1,1157750,PL-234,PL 91,Wroclaw power station,NA,NA,NA,NA,NA,NA
29,630,42.285384,23.034163,BG-4-1,G100971,Bobov Dol power station Unit 1,1106328,BG-4,BG 11,Bobov Dol power station,Bobov Dol 1,lignite,210,BG,TPP_BOBOV_DOL_G1,Fossil Brown coal/Lignite
290,102,51.248386,7.118781,DE-238-2,G111027,Wuppertal-Elberfeld power station Unit 2,1113762,DE-238,DE 883,Wuppertal-Elberfeld power station,NA,NA,NA,NA,NA,NA
291,70,50.324928,18.785719,NA,G111518,Zabrze power station Unit 2,1158864,NA,NA,Zabrze power station,NA,NA,NA,NA,NA,NA
292,64,53.574955,14.532863,NA,G113437,Zaklady Police Fertilizer power station Unit 4,,NA,NA,Zaklady Police Fertilizer power station,NA,NA,NA,NA,NA,NA
293,135,52.294697,20.993335,NA,G111548,Zeran power station Unit 11,1191760,NA,NA,Zeran power station,NA,NA,NA,NA,NA,NA
294,30,49.22539815,17.65382956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,64,49.964162,18.6267936,NA,G111742,Zofiowka Mine 1,1159389,NA,NA,Zofiowka Mine power station,NA,NA,NA,NA,NA,NA
296,37,49.942079,18.569813,NA,G111744,Zofiowka Moszczenica,,NA,NA,Zofiowka Moszczenica power station,NA,NA,NA,NA,NA,NA
297,474,48.455287,11.799544,DE-243-5,G111745,Zolling power station Unit 5,1128710,DE-243,DE 963,Zolling power station,Zolling-Leininger 5,hard coal,474,DE,DEZOLLI____1_____,Fossil Hard coal
298,105,50.347756,19.278159,NA,G111769,ZW Nowa power station Unit 5,1167075,NA,NA,ZW Nowa power station,NA,NA,NA,NA,NA,NA
3,600,52.012307,18.546212,NA,G100025,Adamow power station Unit 1,1100358,NA,NA,Adamow power station,NA,NA,NA,NA,NA,NA
30,108,48.9356,2.3539,NA,G100985,Bois-Rouge 3,1196917,NA,NA,Bois-Rouge power station,NA,NA,NA,NA,NA,NA
31,675,51.418683,14.568425,NA,G101036,Boxberg Unit R,1191208,NA,NA,Boxberg,NA,NA,NA,NA,NA,NA
32,2582,51.419696,14.575308,DE-32-13,G101032,Boxberg power station Unit N,1106827,DE-32,DE 1453,Boxberg power station,Boxberg N,lignite,500,DE,KW Boxberg Block N,Fossil Brown coal/Lignite
33,65,45.662296,25.646845,NA,G101042,Brasov power station Unit 1,1106975,NA,NA,Brasov power station,NA,NA,NA,NA,NA,NA
34,49,52.266667,10.516667,DE-33-1,G101044,Braunschweig Mitte 3,1133179,DE-33,DE 1622,Braunschweig Mitte power station,NA,NA,NA,NA,NA,NA
